Username,Comment
@poonamDevi-c3x,Mera favourite song😍👌🌹🙏
@kailashjat7282,My child hood memories ❤ 2005-06
@bersainmurillolimon1436,🤳🍷🇲🇽
@sarmadnaeem2965,Burn the dance floor said by rani voice was so sexy damn❤😂
@gamerextreme4772,One of abishek best performances
@ashokkumarporte6314,Me🖐️
@chatorizubaanbyamit,Rani mukherjee danced so energetically in heels
@bhadiyaswaad2766,Aaj ka calender lottery kutton ki tarah Pokhara band kar do gane Suna do Shanti se kaun sa kaun se sal mein kaun Sun Raha hai Kaun nahin sun raha hai beta Tum jis samay paida nahin ho to usse pahle ke jamane ke gane sunte a rahe Hain ham
@AyeshaKhan_UAE,💯💯Marriage💃💃💃💐
@AyeshaKhan_UAE,💐👨‍❤️‍💋‍👨👨‍👩‍👦🎉💃💃💃
@aakashkumar9138,Anyone from 2024?
@funnywork506,7yr Old That Time It Was My First Movie
@entertainmentside2254,I’m from south India I can’t understand song but This song no need language just see it and energetic vibe will come automatically 🔥🔥🔥🔥🔥
@SurbhiSinghSodhi,What a beauty RANI
@Chrunchclay,I love ranimukharji dance ❤
@ShubhamOnlineServices,Nach Baliya 
@uglyindian4401,Fans of Shaimak Davar here...?
@shanebeard2044,Ahloa I’m shanebearddj 🎉🎉🎉
@shreyachoudhury6969,2024 and FOREVER ❤❤❤❤
@raimaqueenhffhur1892,What is.this.  song 😢
@rizwanaliofficial6066,Kon kon soun rha ha 2024 ?
@sarcasm_favlang,"Walking in those heels is a task.. and this diva is dancing.. 

Massive respect 😊"
@sanhitasadhu2065,Both Abhishek and Rani have given the same color costume
@uditz09,The real challenge was to Abhishek Bachchan 😮and he killed every steps👌🏼
@chatorizubaanbyamit,Mind boggling choreography by Renowned Shamak Daivar 🫡
@newr.s.j34,Rani seriously... Abhishek ❌
@newr.s.j34,Hrithik Roshan & Rani best Dance moment ❤️
@aishwaryamishra5474,Rani Mukherjee Dance ! What an energy 🔥🔥🔥
@mrkaly-it1tm,I'm
@sunnymehta824,Who’s here in 2024 listening to this masterpiece 🔥
@ZoyaRanchi,Attendance 2024
@farandulainformativamx,Hermoso ❤❤❤❤❤❤!!!!!!!!!!💎💎💎💎💎💎💎💎
@joyantiroy5668,"I am shocked to you.... what about you listen from my husband.... you are living together hotel, room other side????😂😂😂😂 break my heart 💔 ..."
@joyantiroy5668,❤❤❤❤❤❤
@joyantiroy5668,I am really sad to you Queen ma'am....
@THEMASKSINGER-vc6nh,3:13 I can notice Sushant Singh Rajput just left behind Rani Mukherji
@Naman-lf7tt,DISCO SONG
@uroosabaig9983,Rani in full action moves kitni energetic bandi thi yeh😂😂😂😂
@AzaharSk-mk5rm,Rani Mukerji only one dancer
@mohimamita7699,Rani nailed it...
@priyankeliyanage1743,Rani is not gorgeous like Aishwarya or Madhuri but her acting and dancing skills could overshadow any beauty queen ...
@mudasirali3254,Who’s listening this masterpiece in 2024
@PurushottamKumar-nk4oo,2024 me jo koi soon raha hai like kro ❤❤❤❤ dekh raha hu
@Nk12278,No doubt abhishek was a fine actor..and handsome too.luck was not with him.and he had lots of expectations being a son of BiG B.logon ne bas usi najariye se dekha
@shanebeard2044,Ahloa I’m shanebearddj 😅😅😅😅
@jaycharan091,The song in which SSR dancing on background 😢  if you try to fin him you can see him
@marvellousboy5443,Koun koun 2024 m sune rha hai ❤❤❤
@kishanrajbhar-ze1vs,My dancing song so beautiful song stej so
